OID_,Join_Count,TARGET_FID,FID_,ORIG_FID,Telephone,Cost,Status,Name,Id,gridcode,suitab,Lat,Lon
24,1,24,24.000000000000000,25.000000000000000,45227581.000000000000000,1316.000000000000000,For Rent,Oswaldo Cook,3,2,Moderate,47.795008008899998,13.114209324300001
25,1,25,25.000000000000000,26.000000000000000,45182071.000000000000000,1956.000000000000000,For Rent,Lewis Branch,1,0,Best,47.795453131800002,13.069437169200000
26,1,26,26.000000000000000,27.000000000000000,45183753.000000000000000,1301.000000000000000,For Sale,Preston Rivers,1,0,Best,47.796615173100001,13.020765679400000
27,1,27,27.000000000000000,28.000000000000000,45145101.000000000000000,1241.000000000000000,For Rent,Ahmed Castillo,1,0,Best,47.797039019400003,13.021384332900000
28,1,28,28.000000000000000,29.000000000000000,45125012.000000000000000,1333.000000000000000,For Rent,Aliyah Conner,1,0,Best,47.797719407300001,13.037207951799999
29,1,29,29.000000000000000,30.000000000000000,45220587.000000000000000,1312.000000000000000,For Rent,Amare Levine,1,0,Best,47.798157659300003,13.048748125300000
30,1,30,30.000000000000000,31.000000000000000,45125234.000000000000000,1176.000000000000000,For Sale,Jaidyn Kelley,4,3,Bad,47.798923489899998,13.098628199800000
31,1,31,31.000000000000000,32.000000000000000,45205752.000000000000000,1438.000000000000000,For Rent,Leilani Griffin,1,0,Best,47.799381102399998,13.045876992400000
32,1,32,32.000000000000000,33.000000000000000,45163399.000000000000000,1901.000000000000000,For Sale,Addison Black,1,0,Best,47.799805104299999,13.046805433299999
33,1,33,33.000000000000000,34.000000000000000,45169581.000000000000000,1542.000000000000000,For Sale,Paulina Gallegos,1,0,Best,47.799716861699999,13.040630799600001
34,1,34,34.000000000000000,35.000000000000000,45233367.000000000000000,1544.000000000000000,For Rent,Essence Irwin,1,0,Best,47.800586260599999,13.018298968100000
35,1,35,35.000000000000000,36.000000000000000,45145767.000000000000000,1411.000000000000000,For Sale,Izaiah Vincent,1,0,Best,47.801575148399998,13.075548974800000
36,1,36,36.000000000000000,37.000000000000000,45195272.000000000000000,1440.000000000000000,For Sale,Lucy Mcgee,1,0,Best,47.804052966100002,13.035726501199999
37,1,37,37.000000000000000,38.000000000000000,45163936.000000000000000,1070.000000000000000,For Rent,Frederick Butler,1,0,Best,47.805373633899997,13.048535329700000
38,1,38,38.000000000000000,39.000000000000000,45216488.000000000000000,1772.000000000000000,For Sale,Jesus Trevino,1,0,Best,47.806762901100001,13.048148919899999
39,1,39,39.000000000000000,40.000000000000000,45188032.000000000000000,1928.000000000000000,For Sale,Alvaro Wheeler,1,0,Best,47.806935483600000,13.040781250800000
40,1,40,40.000000000000000,41.000000000000000,45172879.000000000000000,1472.000000000000000,For Sale,Isaac Navarro,1,0,Best,47.807251631600003,13.001492694000000
41,1,41,41.000000000000000,42.000000000000000,45108923.000000000000000,1836.000000000000000,For Sale,Isis Wright,1,0,Best,47.807897522300003,13.041744738100000
42,1,42,42.000000000000000,43.000000000000000,45181986.000000000000000,1888.000000000000000,For Sale,Alivia Wiley,1,0,Best,47.811399688400002,12.984452421400000
43,1,43,43.000000000000000,44.000000000000000,45118060.000000000000000,1739.000000000000000,For Rent,Turner Hinton,1,0,Best,47.811808796599998,13.080285377699999
44,1,44,44.000000000000000,45.000000000000000,45215797.000000000000000,1741.000000000000000,For Sale,Sanaa Barron,1,0,Best,47.812243510499997,13.043676120300001
45,1,45,45.000000000000000,46.000000000000000,45245316.000000000000000,1445.000000000000000,For Sale,Chaya Velasquez,1,0,Best,47.812888037100002,13.041723973400000
46,1,46,46.000000000000000,47.000000000000000,45123867.000000000000000,1851.000000000000000,For Sale,Derrick Mann,1,0,Best,47.812904949800000,13.038798049600000
47,1,47,47.000000000000000,48.000000000000000,45208125.000000000000000,1229.000000000000000,For Rent,Yael Ewing,1,0,Best,47.813220139499997,13.076756799600000
48,1,48,48.000000000000000,49.000000000000000,45133119.000000000000000,1825.000000000000000,For Sale,Raphael Pace,1,0,Best,47.813901088300000,13.042654122800000
49,1,49,49.000000000000000,50.000000000000000,45216234.000000000000000,1354.000000000000000,For Rent,Raven Dawson,1,0,Best,47.814206485699998,13.042327649500001
50,1,50,50.000000000000000,51.000000000000000,45163385.000000000000000,1149.000000000000000,For Rent,Oscar Shah,1,0,Best,47.815420851500001,13.043377037000001
51,1,51,51.000000000000000,52.000000000000000,45221263.000000000000000,1761.000000000000000,For Rent,Julio Whitney,1,0,Best,47.815761547999998,13.044670010600001
52,1,52,52.000000000000000,53.000000000000000,45147872.000000000000000,1177.000000000000000,For Rent,Arnav Krueger,1,0,Best,47.816490463699999,13.042528981600000
53,1,53,53.000000000000000,54.000000000000000,45170382.000000000000000,1620.000000000000000,For Rent,Zion Guerrero,1,0,Best,47.817012322499998,13.016910414300000
54,1,54,54.000000000000000,55.000000000000000,45247643.000000000000000,1062.000000000000000,For Sale,Arjun Contreras,2,1,Good,47.818092932900001,13.079478352000001
55,1,55,55.000000000000000,56.000000000000000,45162173.000000000000000,1514.000000000000000,For Sale,Marisa Hicks,1,0,Best,47.818887039499998,13.045732949700000
56,1,56,56.000000000000000,57.000000000000000,45230970.000000000000000,1519.000000000000000,For Sale,Fisher Foster,1,0,Best,47.821305282399997,13.035451646700000
57,1,57,57.000000000000000,58.000000000000000,45133242.000000000000000,1919.000000000000000,For Sale,Jonas Fischer,1,0,Best,47.821423886600002,13.027083924799999
58,1,58,58.000000000000000,59.000000000000000,45243701.000000000000000,1710.000000000000000,For Rent,Leah Hopkins,1,0,Best,47.821487705800003,13.036254363899999
59,1,59,59.000000000000000,60.000000000000000,45202079.000000000000000,1393.000000000000000,For Sale,Mariah Sharp,1,0,Best,47.821827697000003,13.027600196700000
60,1,60,60.000000000000000,61.000000000000000,45163865.000000000000000,1177.000000000000000,For Sale,Shawn Lyons,1,0,Best,47.825018149800002,13.009755699699999
61,1,61,61.000000000000000,62.000000000000000,45225775.000000000000000,1515.000000000000000,For Rent,Rashad Boyd,1,0,Best,47.825081127200001,13.009514946700000
62,1,62,62.000000000000000,63.000000000000000,45182798.000000000000000,1509.000000000000000,For Sale,Kaden Tran,1,0,Best,47.826745250800002,13.037059799500000
63,1,63,63.000000000000000,64.000000000000000,45218813.000000000000000,1148.000000000000000,For Rent,Ben Friedman,1,0,Best,47.826705543700001,13.010084349700000
64,1,64,64.000000000000000,65.000000000000000,45230407.000000000000000,1924.000000000000000,For Sale,Jaylee Wheeler,1,0,Best,47.827466938199997,13.024274431800000
65,1,65,65.000000000000000,66.000000000000000,45175811.000000000000000,1579.000000000000000,For Rent,Shyann Hoover,1,0,Best,47.833982754700003,13.000792653900000
66,1,66,66.000000000000000,67.000000000000000,45167183.000000000000000,1660.000000000000000,For Rent,Van Ochoa,1,0,Best,47.836288928499997,13.059502790500000
67,1,67,67.000000000000000,68.000000000000000,45201130.000000000000000,1781.000000000000000,For Rent,Hamza Marsh,1,0,Best,47.839872301500002,13.022671599600001
68,1,68,68.000000000000000,69.000000000000000,45233316.000000000000000,1129.000000000000000,For Sale,Melvin Booker,2,1,Good,47.842997249699998,13.065717349600000
69,1,69,69.000000000000000,70.000000000000000,45175044.000000000000000,1380.000000000000000,For Sale,Carson Abbott,2,1,Good,47.843095417500002,13.065498599700000
